7:302,58,616,29,8,518,650,76,138,542
18:17,518,8,654,650,564,616,58,32,302
19:19480,82232,82231,82230,82227,82228,82229,82233,82238,82239
36:17,654,616,58,84,8,518,29,76,542
37:10520,57491,16288,1239,296,17,616,8,654,302
41:14202,356,18867,3890,4499,17,302,616,654,58
42:2193,35036,131,3824,3642,2008,17,302,654,58
43:17,302,654,616,76,58,226,84,8,138
44:2316,26042,97,2338,5413,302,616,84,8,76
45:76,347,17,564,302,616,650,58,226,654
46:109,7506,45422,46215,19431,302,616,58,8,76
59:16134,119,29709,1039,37900,1965,654,616,58,76
60:6011,302,6848,302,58,616,29,84,8,76
69:813,14551,9931,5465,8276,14202,302,654,58,564
70:302,654,84,58,616,76,29,8,354,650
94:9617,6270,20553,95138,11174,13002,17,616,654,302
106:14202,67595,84,8,29,518,15,101,1102,6
115:966,2816,709,2982,1360,58,8,518,29,15
116:29001,834,3167,17,76,302,226,70,654,616
142:19984,296,18867,1965,8487,58,8,84,29,61
143:49245,86747,394,483,394,3231,29990,16703,5287,10043
148:378,5545,1405,5103,18867,17,616,302,654,8
150:17,302,654,650,8,29,84,564,542,518
156:568,7029,8683,302,616,58,8,84,29,542
161:1926,179,9581,13062,12259,616,84,29,76,650
171:28641,302,84,8,650,76,518,15,1102,354
172:1937,1217,654,58,8,84,542,76,518,564
174:8,518,431,3233,483,1023,245,654,899,117
177:17,654,58,616,29,84,8,542,518,650
196:3476,650,4578,17164,427,616,29,76,650,542
202:220,302,58,8,518,542,15,354,1102,138
211:17,8,508,873,302,76,787,564,947,616
217:17,55991,17,616,654,302,518,8,58,15
220:10178,186,22713,7649,39446,1342,13192,64973,4032,7478
223:119,167,559,302,654,616,58,8,84,518
224:4797,353,1951,17,518,245,8,84,654,601
225:32619,353,3476,302,654,616,58,84,8,518
228:650,17,302,654,616,58,650,76,361,29
229:1410,2068,58,84,518,15,1102,101,736,6
231:2904,302,654,616,58,84,8,76,518,29
232:6476,86134,55056,103819,102080,69488,24068,190,50356,100265
238:42397,26712,17,245,302,8,76,616,564,58
241:7973,616,58,84,29,518,650,76,542,1102
245:81,262,16786,3137,508,3939,780,5767,650,1164
249:8483,91955,7869,17,302,654,616,58,84,8
250:285,3250,2031,302,654,616,58,8,84,518
253:17,616,302,76,654,8,508,564,58,542
257:354,65,296,709,17,84,542,15,1102,861
272:654,58,616,1102,8,29,354,518,650,76
273:967,17,302,654,76,650,15,101,354,736
288:5998,1548,699,116,17,616,58,84,29,76
290:18867,13501,17,302,654,616,138,84,76,58
291:61628,16625,17,84,518,302,616,654,1102,58
292:10930,654,616,58,76,542,564,289,138,301
294:17,302,8,29,76,1102,542,15,564,354
328:302,654,84,58,616,8,29,1102,354,76
331:17,302,654,616,58,8,542,84,15,650
345:29573,62840,11401,1754,77581,385,805,45975,80736,120518
361:58,616,29,8,518,76,650,354,138,301
376:8683,3191,17,302,58,616,29,84,8,650
384:4940,1684,1979,14593,17,616,302,654,8,542
401:1009,19431,14202,616,58,29,1102,650,542,354
402:4793,3304,16056,302,654,8,84,542,518,15
410:17,76,302,616,654,58,8,84,508,518
448:598,17532,53377,1166,302,616,654,58,8,518
449:65,5214,54210,11484,1039,17,616,302,654,58
450:8105,116,9525,193,65,302,654,84,15,76
452:749,116,17,616,302,13523,58,518,76,8
476:398,8213,17,245,302,616,70,654,1023,518
488:43182,4478,1548,376,1196,454,17,302,616,58
490:17,302,29,15,76,650,101,289,61,32
494:9942,6923,356,10066,11,2273,17,616,654,58
500:17,302,616,654,58,76,8,650,84,564
514:8276,5214,18287,17,616,302,654,58,76,8
525:116,302,654,616,84,58,518,70,564,650
535:17,29,8,1102,518,650,76,542,354,6
536:813,8276,97,14202,302,654,616,58,84,8
538:10269,5258,44455,302,654,616,58,1102,29,76
539:14202,1039,7409,17,654,58,8,84,29,518
564:86763,97,65,709,1891,1719,84,8,76,650
582:1550,616,84,29,76,518,1102,15,564,354
585:17,185,17,302,654,616,58,84,8,29
590:11108,2073,654,8,29,518,76,650,354,542
601:31717,226,94414,75023,67228,18245,31717,118676,121234,27912
618:17,302,616,654,58,76,226,542,8,650
624:17,508,76,8,654,302,84,518,616,7006
627:11539,5512,83175,4671,19731,32661,10071,311,780,9594
628:62751,803,85531,1897,45860,90011,96065,787,11406,3753
632:17,81,8,616,226,508,654,76,302,564
633:1039,302,654,58,8,84,518,650,15,76
634:17,226,76,70,616,58,508,780,302,654
646:20382,17,302,654,76,616,58,29,354,70
666:4510,10192,10981,911,11590,1337,18920,25145,17908,35817
667:1405,37653,17,302,616,654,58,8,76,564
669:518,11470,17,10493,736,500,1803,483,58,1382
678:76,21462,1535,30911,22518,17,302,654,58,8
680:559,65,17,654,616,58,8,29,650,84
681:46215,6411,8786,17,76,616,245,302,8,654
682:2614,26376,2460,336,19236,76,17,564,302,1528
683:71448,3849,226,932,2063,98966,103,112536,16680,34823
684:168,719,984,5480,8860,76,1460,1326,17,463
715:4671,2543,12861,9435,8392,11855,311,8867,2215,17486
716:17,616,302,654,58,542,861,650,8,15
741:1803,301,17,616,302,654,168,76,58,564
750:2369,2059,34508,1217,84361,8,76,15,564,61
754:709,4034,8546,356,2085,22606,17,302,616,654
756:8105,1217,285,616,84,8,650,1102,76,542
